# synapse type	synapse ID	soma distance	section ID	section pt ID	dendrite label	activation times
L2_C1	364	1062.73437252	66	69	ApicalDendrite	38.7763848687,
L2_C2	38	131.616524756	11	47	ApicalDendrite	120.753270393,
L2_C2	64	307.383719137	20	159	ApicalDendrite	70.3847902451,
L2_C2	71	1228.20572004	67	35	ApicalDendrite	143.622832197,
L2_C2	72	368.767496632	37	84	ApicalDendrite	63.097639891,
L2_C2	79	252.62955852	91	63	Dendrite	10.7505954781,
L2_C2	81	141.567510491	14	54	ApicalDendrite	223.132203439,
L2_C2	88	1397.9212942	62	116	ApicalDendrite	255.915055136,
L2_C2	93	284.353790525	23	94	ApicalDendrite	97.6219845575,
L2_C2	101	1482.7157509	82	84	ApicalDendrite	152.613794716,
L2_C2	106	1134.86295915	40	116	ApicalDendrite	275.491558113,
L2_C2	107	1225.22810839	80	28	ApicalDendrite	275.491558113,
L2_C2	108	1368.48581224	79	41	ApicalDendrite	162.389611545,
L2_C2	109	1373.54266842	79	44	ApicalDendrite	162.389611545,
L2_C2	124	1373.01766749	72	10	ApicalDendrite	113.475956171,
L2_C2	148	98.2672006775	163	44	Dendrite	300.95973061,
L2_C2	159	1256.10594395	52	1	ApicalDendrite	303.903925208,
L2_C2	161	186.728528699	24	3	ApicalDendrite	145.117375989,
L2_C2	163	1202.00617663	40	155	ApicalDendrite	240.32578575,
L2_C2	183	86.5988472055	112	58	Dendrite	213.333235962,
L2_C2	185	830.030441197	38	519	ApicalDendrite	10.0361014628,
L2_C2	194	1099.1405309	66	94	ApicalDendrite	25.0079231569,
L2_C2	195	234.214131704	17	84	ApicalDendrite	293.128707487,
L2_C2	196	1154.12964891	40	126	ApicalDendrite	293.128707487,
L2_C2	197	227.809210475	23	58	ApicalDendrite	293.128707487,
L2_C2	208	1179.33869614	62	0	ApicalDendrite	119.883330766,
L2_C2	224	122.952432356	14	38	ApicalDendrite	133.556769289,
L2_C2	242	154.036926362	148	50	Dendrite	308.159747613,
L2_C2	243	240.927352824	10	186	ApicalDendrite	308.159747613,
L2_C2	247	712.378360286	38	446	ApicalDendrite	116.378994348,
L2_C2	248	930.062471284	38	586	ApicalDendrite	116.378994348,
L2_C2	252	50.6610096301	140	41	Dendrite	36.1875913662,
L2_C2	253	106.303905919	139	62	Dendrite	36.1875913662,
L2_C2	254	71.0502235793	139	22	Dendrite	36.1875913662,
L2_C2	265	869.963879386	38	543	ApicalDendrite	194.227177845,
L2_C2	275	1340.2744185	77	11	ApicalDendrite	169.033927457,
L2_C2	287	960.894532657	66	1	ApicalDendrite	94.9591556623,
L2_C2	291	834.918078088	38	521	ApicalDendrite	10.6497989347,
L2_C2	294	78.0987404841	96	21	Dendrite	147.184637174,
L2_C2	297	200.341420337	135	185	Dendrite	0.360315998755,
L2_C2	298	124.605730484	9	91	ApicalDendrite	0.360315998755,
L2_C2	309	697.903697863	38	438	ApicalDendrite	283.982284146,
L2_C2	310	994.474322055	51	17	ApicalDendrite	283.982284146,
L2_C2	323	204.968052429	84	150	ApicalDendrite	55.8660637331,
L2_C2	327	1272.76664173	52	9	ApicalDendrite	17.2867084744,
L2_C2	328	1302.42471294	52	23	ApicalDendrite	17.2867084744,
L2_C2	334	1471.52175823	78	75	ApicalDendrite	106.14079999,309.07896804,
L2_C2	350	1312.61295705	52	29	ApicalDendrite	240.561708089,
L2_C2	351	1179.33869614	61	139	ApicalDendrite	240.561708089,
L2_C2	353	113.105372487	155	85	Dendrite	15.9004017716,192.299081799,
L2_C2	354	1380.14668416	72	14	ApicalDendrite	192.299081799,
L2_C2	355	1435.27439984	79	73	ApicalDendrite	15.9004017716,
L2_C2	381	1200.07134976	62	11	ApicalDendrite	247.445708126,
L2_C2	384	226.311166459	27	4	ApicalDendrite	267.521179575,
L2_C2	391	301.251021708	18	149	ApicalDendrite	97.4352780351,
L2_C2	392	1035.08759569	40	48	ApicalDendrite	97.4352780351,
L2_C2	393	245.647003621	105	140	Dendrite	332.988194745,
L2_C2	394	1148.77229414	61	117	ApicalDendrite	249.667229125,
L2_C2	395	204.968052429	84	150	ApicalDendrite	249.667229125,283.301802834,
L2_C2	401	1177.96746089	40	140	ApicalDendrite	250.637727293,
L2_C2	417	1268.02071789	58	8	ApicalDendrite	271.279925814,
L2_C2	422	1266.08581031	62	43	ApicalDendrite	175.486363148,
L2_C2	423	983.988083485	51	11	ApicalDendrite	175.486363148,
L2_C2	457	1093.89492467	40	90	ApicalDendrite	113.353534059,
L2_C2	458	975.174576006	51	6	ApicalDendrite	39.2430930084,97.93811764,
L2_C2	459	139.223567522	117	38	Dendrite	154.325528214,
L2_C2	466	798.8060648	38	500	ApicalDendrite	214.964814077,
L2_C2	473	1060.9318946	66	68	ApicalDendrite	213.97408185,
L2_C2	476	314.232310934	20	169	ApicalDendrite	287.515811333,
L2_C2	487	1164.88544931	40	132	ApicalDendrite	295.821545563,
L2_C2	494	82.3393452111	164	25	Dendrite	327.875616026,
L2_C2	510	289.628382312	160	355	Dendrite	209.560171415,
L2_C2	511	133.66342226	9	94	ApicalDendrite	209.560171415,
L2_C2	512	266.641626569	10	210	ApicalDendrite	209.560171415,
L2_C2	530	171.288543405	102	102	Dendrite	78.3627234729,
L2_C2	543	1278.18073752	60	0	ApicalDendrite	35.6795745969,
L2_C2	570	1073.36145322	40	77	ApicalDendrite	330.120329457,
L2_C2	571	102.108805022	87	32	Dendrite	208.588951742,234.758358898,267.26380777,
L2_C2	572	106.767322233	90	39	Dendrite	267.26380777,
L2_C2	573	89.9408509227	90	21	Dendrite	208.588951742,234.758358898,
L2_C2	575	1405.68059836	62	120	ApicalDendrite	248.748115198,
L2_C2	603	1335.35771874	77	9	ApicalDendrite	292.449663199,
L2_C2	604	1420.3382842	77	47	ApicalDendrite	292.449663199,
L2_C2	605	1439.93626267	77	53	ApicalDendrite	194.365546204,292.449663199,
L2_C2	633	45.7500739406	112	7	Dendrite	106.448319031,
L2_C2	634	1079.93232968	40	81	ApicalDendrite	106.448319031,
L2_C2	636	1200.23662481	40	154	ApicalDendrite	105.535550008,
L2_C2	643	241.931554585	18	81	ApicalDendrite	261.817912438,
L2_C2	646	130.306877236	10	70	ApicalDendrite	78.764482113,
L2_C2	683	1369.15842248	48	12	ApicalDendrite	262.536628607,
L2_C2	684	1284.35991181	59	2	ApicalDendrite	262.536628607,
L2_C2	685	1290.04105381	62	57	ApicalDendrite	262.536628607,
L2_C2	688	1219.36131178	62	21	ApicalDendrite	289.41873945,
L2_C2	692	1093.89492467	40	90	ApicalDendrite	117.94431918,
L2_C2	694	227.052658994	151	43	Dendrite	128.209230717,
L2_C2	695	1448.76418591	75	3	ApicalDendrite	128.209230717,
L2_C2	696	1415.21889694	79	66	ApicalDendrite	128.209230717,
L2_C2	713	1154.52112005	61	121	ApicalDendrite	115.910574196,
L2_C2	718	1500.23898199	52	126	ApicalDendrite	129.40315243,256.513631898,
L2_C2	722	106.401865637	135	81	Dendrite	120.611674458,
L2_C2	723	1049.4656848	61	50	ApicalDendrite	120.611674458,
L2_C2	735	339.991260042	20	196	ApicalDendrite	265.896026672,
L2_C2	742	1482.38855004	73	29	ApicalDendrite	138.571132062,
L2_C2	744	189.061055335	135	173	Dendrite	153.051279064,
L2_C2	752	966.855311126	39	6	ApicalDendrite	127.483881141,
L2_C2	753	1210.7130964	62	17	ApicalDendrite	127.483881141,
L2_C2	760	79.6490175698	142	14	Dendrite	283.071013875,
L2_C2	761	34.2010709731	6	38	ApicalDendrite	283.071013875,
L2_C2	784	1264.49180618	63	56	ApicalDendrite	79.5335524999,
L2_C2	799	1493.20413648	73	34	ApicalDendrite	166.426708296,
L2_C2	801	1384.2756131	79	50	ApicalDendrite	166.426708296,
L2_C2	813	278.055795465	24	101	ApicalDendrite	217.843898936,
L2_C2	819	1562.83796615	64	73	ApicalDendrite	17.552739197,
L2_C2	822	163.597348974	10	95	ApicalDendrite	281.392548954,
L2_C2	831	1330.38061394	62	83	ApicalDendrite	172.749782687,
L2_C2	835	86.4958272217	161	47	Dendrite	254.141068276,
L2_C2	836	1468.92058539	81	90	ApicalDendrite	169.5935457,
L2_C2	852	1004.44647047	51	22	ApicalDendrite	169.82477087,
L2_C2	858	1073.23373216	61	68	ApicalDendrite	178.878216394,
L2_C2	868	1261.69214417	80	49	ApicalDendrite	5.39371961662,
L2_C2	879	64.152900737	106	40	Dendrite	169.718967555,
L2_C2	881	1457.65814152	60	89	ApicalDendrite	83.7468677453,
L2_C2	910	241.31485901	18	80	ApicalDendrite	88.440669083,
L2_C2	936	1350.76351242	72	1	ApicalDendrite	262.861358183,
L2_C2	958	173.331854113	135	157	Dendrite	243.647385663,
L2_C2	960	1282.58973411	67	75	ApicalDendrite	90.9281100018,
L2_C2	976	93.0262854236	163	40	Dendrite	92.3067634049,
L2_C2	977	203.252075079	4	234	Dendrite	344.985976043,
L2_C2	987	259.377104413	17	103	ApicalDendrite	112.087147341,
L2_C2	988	315.205443346	35	0	ApicalDendrite	112.087147341,
L2_C2	991	48.4726018723	140	37	Dendrite	97.2313669481,194.760231045,
L2_C2	993	1393.82145221	62	114	ApicalDendrite	256.585196016,
L2_C2	995	914.351171956	38	572	ApicalDendrite	256.585196016,
L2_C2	997	1480.66410029	73	28	ApicalDendrite	236.820763226,
L2_C2	998	1349.22846341	70	16	ApicalDendrite	236.820763226,
L2_C2	999	1308.34005614	68	13	ApicalDendrite	236.820763226,
L2_C2	1000	1432.61800894	52	90	ApicalDendrite	94.8342141892,
L2_C2	1002	1309.78683368	63	80	ApicalDendrite	94.8342141892,
L2_C2	1009	76.5260015186	147	37	Dendrite	295.748362769,
L2_C2	1010	231.201713063	18	66	ApicalDendrite	202.907676842,295.748362769,
L2_C2	1040	227.140023655	27	6	ApicalDendrite	196.618347017,
L2_C2	1054	1184.77493054	63	4	ApicalDendrite	282.346111548,
L2_C2	1055	1227.03557447	80	29	ApicalDendrite	12.3216533858,282.346111548,
L2_C2	1096	1197.80793233	63	14	ApicalDendrite	182.626171929,
L2_C2	1113	85.184109616	93	22	Dendrite	293.256872329,
L2_C2	1114	912.10966404	38	570	ApicalDendrite	293.256872329,
L2_C2	1137	82.4960222907	90	9	Dendrite	174.957065747,
L2_C2	1188	1209.06739597	40	160	ApicalDendrite	78.076616626,
L2_C2	1193	1211.81070828	40	161	ApicalDendrite	72.9185078288,
L2_C2	1199	38.1953522344	111	7	Dendrite	274.430820605,
L2_C2	1230	1286.20221978	63	68	ApicalDendrite	172.640986341,
L2_C2	1244	47.9924938146	160	12	Dendrite	103.459177886,
