Model ID,Sum,NaTa_t.soma.gNaTa_tbar,Nap_Et2.soma.gNap_Et2bar,K_Pst.soma.gK_Pstbar,K_Tst.soma.gK_Tstbar,SK_E2.soma.gSK_E2bar,SKv3_1.soma.gSKv3_1bar,Ca_HVA.soma.gCa_HVAbar,Ca_LVAst.soma.gCa_LVAstbar,CaDynamics_E2.soma.gamma,CaDynamics_E2.soma.decay,none.soma.g_pas,none.axon.g_pas,none.dend.g_pas,none.apic.g_pas,Im.apic.gImbar,NaTa_t.apic.gNaTa_tbar,SKv3_1.apic.gSKv3_1bar,Ca_HVA.apic.gCa_HVAbar,Ca_LVAst.apic.gCa_LVAstbar,SK_E2.apic.gSK_E2bar,CaDynamics_E2.apic.gamma,CaDynamics_E2.apic.decay
382,6.17,2.29,0.000215,0.0158,0.0878,0.045,0.543,0.000311,0.00541,0.000593,524,0.0000362,0.0000416,0.0000777,0.0000522,8.27E-05,0.0214,0.000256,0.000482,0.0251,0.000155,3.54E-03,1.30E+02
253,6.17,2.41,0.00611,0.0255,0.0449,0.0694,0.986,0.00028,0.00651,0.000632,500,0.0000343,0.000033,0.0000733,0.0000364,0.000155,0.0222,0,0.00117,0.000558,0.00139,5.00E-04,4.99E+01
917,6.18,2.41,0.00611,2.55E-02,0.0449,0.0694,0.986,0.00028,0.00651,0.000632,500,0.0000343,0.000033,0.0000733,0.0000364,0.000155,0.0222,0,0.00117,0.000588,0.00139,5.05E-04,4.99E+01
619,6.18,2.41,0.00611,2.55E-02,0.0449,0.0694,0.986,0.00028,0.00651,0.000632,500,0.0000343,0.000033,0.0000733,0.0000364,0.000155,0.0222,0.00E+00,0.00117,0.000567,0.00139,5.00E-04,4.99E+01
220,6.18,2.43,0.00121,0.00265,0.0608,0.0465,0.666,0.000356,0.00335,0.000666,923,0.000037,0.0000424,0.0000833,0.0000493,0.0000696,0.022,0.000208,0.000576,0.0181,0.000841,6.54E-04,9.53E+01
703,6.19,2.51,0.00202,0.00205,0.0707,0.0508,0.678,0.000346,0.00511,0.000632,944,0.0000395,0.0000421,0.0000821,0.0000559,1.31E-04,0.0206,0.000195,0.00113,0.00735,0.00105,6.45E-04,8.89E+01
604,6.19,2.41,0.0061,2.05E-02,0.0488,0.0677,0.949,0.000267,0.00654,0.000634,512,0.000034,0.000033,0.0000723,0.0000366,0.00018,0.0215,0,0.00122,0,0.00157,5.02E-04,5.09E+01
903,6.20,2.41,0.0061,0.0205,0.0488,0.0677,0.949,0.000267,0.00654,0.000634,512,0.000034,0.000033,0.0000723,0.0000366,1.80E-04,0.0215,0,0.00122,0,0.00157,5.02E-04,5.09E+01
234,6.20,2.41,6.10E-03,0.0205,0.0488,0.0677,0.949,0.000267,0.00654,0.000634,512,0.000034,0.000033,0.0000723,0.0000366,0.00018,0.0215,0,0.00122,0,0.00157,5.00E-04,5.09E+01
163,6.20,2.42,0.000618,0.00205,0.0679,0.0438,0.591,0.000344,0.00277,0.000628,933,0.0000367,0.0000419,0.0000836,0.0000525,0.0000853,0.0221,0.000198,0.000616,0.00535,0.00102,6.45E-04,9.88E+01
254,6.21,2.41,0.0061,0.0205,0.0486,0.0678,0.954,0.000268,0.00655,0.000634,512,0.000034,0.000033,0.0000724,0.0000365,0.00018,0.0215,0,0.00122,0,0.00156,5.00E-04,5.10E+01
620,6.21,2.41,0.0061,0.0205,0.0486,0.0678,0.954,0.000268,0.00655,0.000634,512,0.000034,0.000033,0.0000724,0.0000365,0.00018,0.0215,0,0.00122,0.0000167,0.00156,5.00E-04,5.10E+01
746,6.21,2.24,0.000269,2.34E-02,0.0764,0.0408,0.514,0.000423,0.00482,0.000589,657,0.0000358,0.0000411,0.0000785,0.0000537,0.0000831,0.0214,0.000381,0.000466,0.0264,0.000157,3.22E-03,1.28E+02
52,6.21,2.24,0.000269,0.0234,0.0764,0.0408,0.514,0.000423,0.00482,0.000589,657,0.0000358,0.0000411,0.0000785,0.0000537,8.31E-05,0.0214,0.000381,0.000465,0.0264,0.000157,3.22E-03,1.28E+02
412,6.21,2.46,0.00608,0.0203,0.0701,0.0605,0.986,0.000294,0.00592,0.000658,431,0.0000356,0.0000307,0.0000719,0.0000358,0.00014,0.0213,0,0.00111,0,0.00159,5.00E-04,5.55E+01
255,6.21,2.32,0.000238,0.00811,0.0883,0.0469,0.528,0.000415,0.00525,0.000591,708,0.000036,0.0000416,0.0000802,0.0000541,8.11E-05,0.0213,0.000313,0.000483,0.0251,0.000158,3.53E-03,1.30E+02
299,6.21,2.43,0.00122,0.00265,0.0608,0.0465,0.666,0.000358,0.00335,0.000666,922,0.000037,0.0000424,0.0000833,0.0000493,0.0000696,0.022,0.000208,0.000576,0.0181,0.000841,6.54E-04,9.52E+01
114,6.22,2.46,0.00608,0.0203,0.0703,0.0605,0.986,0.000294,0.00592,0.000658,431,0.0000356,0.0000307,0.0000719,0.0000358,0.00014,0.0213,0,0.00111,0,0.00159,5.00E-04,5.55E+01
800,6.22,2.46,0.00608,0.0203,0.0703,0.0605,0.986,0.000294,0.00592,0.000658,431,0.0000356,0.0000307,0.0000719,0.0000358,0.00014,0.0213,0,0.00111,0,0.00159,5.00E-04,5.55E+01
107,6.22,2.39,0.00612,2.05E-02,0.0507,0.0678,0.997,0.000267,0.00663,0.000634,522,0.0000342,0.0000331,0.0000744,0.0000366,0.000177,0.022,0,0.00121,0.000947,0.00157,5.00E-04,5.11E+01
795,6.22,2.39,6.12E-03,0.0205,0.0507,0.0678,0.997,0.000267,0.00663,0.000634,522,0.0000342,0.0000331,0.0000744,0.0000366,0.000177,0.022,0,0.00121,0.000947,0.00157,5.02E-04,5.11E+01
25,6.23,2.52,0.000879,0.0037,0.0733,0.0406,0.675,0.000376,0.00556,0.000585,757,0.0000372,0.0000414,0.0000692,0.000073,0.00013,0.0218,1.20E-03,0.00155,0.00753,0.00135,5.96E-04,1.11E+02
952,6.23,2.43,0.00122,0.00265,0.0608,0.0465,0.666,0.000358,0.00335,0.000666,922,0.000037,0.0000424,0.0000833,0.0000493,0.0000696,0.022,0.000208,0.000576,0.0181,0.000841,6.54E-04,9.52E+01
