# synapse type	synapse ID	soma distance	section ID	section pt ID	dendrite label	activation times
L1_Beta	1	1452.24360667	73	16	ApicalDendrite	121.864977328,320.120195593,
L1_C1	8	1502.54134627	50	60	ApicalDendrite	259.756396659,
L1_C1	12	1341.32264646	52	42	ApicalDendrite	300.822545018,
L1_C1	13	1426.1225611	55	22	ApicalDendrite	300.822545018,
L1_C2	5	1496.33667146	50	59	ApicalDendrite	287.194090771,
L1_C2	7	1449.62510179	76	4	ApicalDendrite	287.194090771,
L1_C2	10	1430.07594882	57	64	ApicalDendrite	214.59455564,
L1_C2	21	1393.26317522	55	7	ApicalDendrite	3.96438179776,
L1_C2	31	1325.40568063	70	1	ApicalDendrite	255.610476273,
L1_C2	34	1409.2961727	46	6	ApicalDendrite	276.085299127,
L1_C2	36	1350.27784353	77	15	ApicalDendrite	29.5891018079,
L1_C2	74	1514.2243188	50	66	ApicalDendrite	231.989381295,
L1_C2	75	1485.15796279	73	30	ApicalDendrite	231.989381295,
L1_C2	79	1355.7005588	71	2	ApicalDendrite	107.991091865,
L1_C2	83	1362.17163571	52	53	ApicalDendrite	258.589379686,
L1_C2	95	1235.13597567	51	162	ApicalDendrite	92.5351221684,
L1_C2	96	1297.15767956	57	0	ApicalDendrite	92.5351221684,
L1_C2	109	1432.61800894	52	90	ApicalDendrite	45.4611185163,
L1_C2	112	1335.40498102	70	7	ApicalDendrite	2.57478653306,
L1_C2	138	1435.27439984	79	73	ApicalDendrite	117.417997421,
L1_C2	141	1533.80064198	57	109	ApicalDendrite	117.417997421,
L1_C2	142	1278.6654022	40	198	ApicalDendrite	239.024775686,
L1_C2	151	1463.60154021	50	45	ApicalDendrite	161.752680776,
L1_C2	152	1412.99269975	49	15	ApicalDendrite	161.752680776,
L1_C2	155	1436.87775196	46	17	ApicalDendrite	161.752680776,
L1_C2	157	1362.9495795	72	6	ApicalDendrite	161.752680776,
L1_C2	167	1402.52972323	52	75	ApicalDendrite	65.9278186754,
L1_C2	168	1322.81128783	77	0	ApicalDendrite	65.9278186754,
L1_C2	169	1445.15295746	65	15	ApicalDendrite	65.9278186754,
L1_C3	0	1303.2486186	62	66	ApicalDendrite	88.29200933,
L1_C3	7	1576.55284013	64	80	ApicalDendrite	214.105060127,
L1_D2	1	1378.99673232	78	34	ApicalDendrite	138.760293806,
L1_D2	44	1381.77593761	82	36	ApicalDendrite	40.9318746369,
L1_D3	5	1473.53756036	82	78	ApicalDendrite	36.7684784388,
L1_D3	7	1478.61555108	64	43	ApicalDendrite	67.5473097169,
L23Trans_B1	0	1113.92872454	40	103	ApicalDendrite	5.08542982933,222.07049267,
L23Trans_B2	2	1048.80185787	40	57	ApicalDendrite	276.974103101,
L23Trans_B2	5	518.97417663	38	317	ApicalDendrite	299.092930387,
L23Trans_B3	0	305.87473513	28	86	ApicalDendrite	96.985133753,
L23Trans_C1	1	1380.40880794	50	4	ApicalDendrite	317.64342808,
L23Trans_C2	8	163.810774825	9	132	ApicalDendrite	257.447632997,259.93184667,
L23Trans_C2	9	522.695049356	38	321	ApicalDendrite	257.447632997,259.93184667,
L23Trans_C2	12	1004.44647047	51	22	ApicalDendrite	336.842541417,
L23Trans_C2	13	1043.78014046	51	47	ApicalDendrite	202.57640918,255.180071749,
L23Trans_C2	16	1007.86014521	61	25	ApicalDendrite	80.2635905396,
L23Trans_C2	19	564.586401744	38	361	ApicalDendrite	12.1800251163,
L23Trans_C2	22	738.219527811	38	460	ApicalDendrite	156.657951578,
L23Trans_C2	24	1177.2294498	66	146	ApicalDendrite	234.802814025,
L23Trans_C2	25	991.631492482	61	14	ApicalDendrite	116.29860108,
L23Trans_C2	28	170.320123501	133	17	Dendrite	253.044269153,
L23Trans_C2	29	974.222878958	51	5	ApicalDendrite	293.53801754,
L23Trans_C2	31	1454.27595535	65	19	ApicalDendrite	255.686450539,
L23Trans_C2	33	1064.21429525	40	69	ApicalDendrite	54.4759580383,122.688721849,
L23Trans_C2	36	1433.36648928	82	59	ApicalDendrite	257.754902884,260.348947952,
L23Trans_C2	37	1308.34005614	68	13	ApicalDendrite	300.133274121,
L23Trans_C2	42	992.981525967	51	16	ApicalDendrite	164.787676656,
L23Trans_C2	44	1002.40178737	61	21	ApicalDendrite	307.961030607,
L23Trans_C2	46	1037.25960358	51	42	ApicalDendrite	60.709770619,
L23Trans_C2	48	1067.97429551	66	71	ApicalDendrite	337.59622531,
L23Trans_C2	50	1203.37932047	63	18	ApicalDendrite	159.476850577,330.998466021,
L23Trans_C2	52	858.631548649	38	536	ApicalDendrite	45.9568343563,
L23Trans_C2	53	1178.71923326	51	127	ApicalDendrite	194.186242155,
L23Trans_C2	54	1293.37667345	53	22	ApicalDendrite	194.186242155,296.877246596,
L23Trans_C2	55	154.822968613	126	77	Dendrite	291.773381217,
L23Trans_C2	56	1057.03628098	40	63	ApicalDendrite	172.678535655,
L23Trans_C2	57	1361.63858793	60	37	ApicalDendrite	46.4745123779,342.723456624,
L23Trans_C2	62	946.194934004	38	596	ApicalDendrite	249.161526955,256.934905227,327.535421072,
L23Trans_C2	63	51.9800575134	150	1	Dendrite	259.613330834,
L23Trans_C2	65	1465.48373691	49	35	ApicalDendrite	54.613643731,340.569962288,
