# presynaptic cell type	cell ID	spike times
L1_B1	6	265.054576117,
L1_B1	7	339.597157741,
L1_B2	0	277.853669914,
L1_Beta	1	121.864977328,131.598302493,320.120195593,
L1_C1	5	259.756396659,
L1_C1	6	300.822545018,
L1_C1	8	175.883291502,
L1_C1	10	107.281630971,
L1_C2	1	259.920745545,287.194090771,
L1_C2	2	262.145375301,
L1_C2	3	214.59455564,
L1_C2	7	3.96438179776,237.538352839,
L1_C2	9	255.610476273,
L1_C2	10	29.5891018079,276.085299127,
L1_C2	13	10.1988966194,
L1_C2	17	231.989381295,
L1_C2	18	107.991091865,
L1_C2	19	29.3886941526,258.589379686,
L1_C2	20	327.653874414,
L1_C2	23	92.5351221684,
L1_C2	25	190.982610125,
L1_C2	26	45.4611185163,
L1_C2	27	2.57478653306,
L1_C2	31	102.664717656,
L1_C2	33	117.417997421,
L1_C2	34	239.024775686,
L1_C2	35	232.415749681,
L1_C2	37	161.752680776,
L1_C2	41	65.9278186754,
L1_C3	0	72.8980485871,88.29200933,
L1_C3	4	147.528258547,
L1_C3	6	214.105060127,
L1_C3	8	277.378806366,
L1_C3	13	313.334250687,
L1_D1	3	29.9643539997,
L1_D2	1	138.760293806,
L1_D2	10	255.194532995,
L1_D2	14	228.996666211,
L1_D2	16	51.414795695,
L1_D2	18	204.503087862,
L1_D2	24	40.9318746369,
L1_D3	0	274.076918924,
L1_D3	1	295.52773974,
L1_D3	5	36.7684784388,
L1_D3	6	67.5473097169,
L1_E2	1	152.294942634,
L23Trans_B1	0	5.08542982933,172.951756313,222.07049267,308.426965625,
L23Trans_B2	0	55.0745070687,125.128591228,161.401515439,175.348129332,
L23Trans_B2	1	81.9618535079,173.649169735,235.422386373,256.211446901,
L23Trans_B2	2	261.998626422,276.974103101,301.036055309,
L23Trans_B2	3	180.176360267,
L23Trans_B2	4	4.21467645094,91.4253065563,98.4987988157,174.14305697,190.523835637,258.150942439,275.149287546,305.471367872,
L23Trans_B2	5	40.1737676531,182.222842214,258.552316403,263.971570658,299.092930387,
L23Trans_B2	6	271.094766488,296.314871198,
L23Trans_B3	0	15.1067712099,96.985133753,163.453856597,289.959769882,311.338595113,
L23Trans_B3	1	248.129574261,286.122865784,290.622176133,
L23Trans_C1	0	80.0767480324,220.573237249,
L23Trans_C1	1	202.412739639,244.488288168,317.64342808,
L23Trans_C1	2	33.332715136,184.824236142,323.80066702,
L23Trans_C1	3	80.3707950178,281.247715377,
L23Trans_C1	4	259.898067069,280.325688482,331.898237869,
L23Trans_C1	5	107.336743635,244.6728465,276.952618023,310.420917136,
L23Trans_C2	0	208.112206305,258.395023479,
L23Trans_C2	1	58.9515909753,105.883369305,253.820475673,289.819228482,
L23Trans_C2	2	141.93389198,149.430043681,188.420912928,253.784469574,270.704155672,
L23Trans_C2	3	253.688364115,
L23Trans_C2	5	7.68685564858,27.2510810929,253.091796204,254.591947972,286.326106557,313.426416219,
L23Trans_C2	6	184.705473432,257.447632997,259.93184667,
L23Trans_C2	7	255.444030175,336.842541417,
L23Trans_C2	8	202.57640918,255.180071749,
L23Trans_C2	9	253.858242072,280.275875111,304.224811931,316.652176476,
L23Trans_C2	10	80.2635905396,253.378017922,
L23Trans_C2	11	256.107210432,
L23Trans_C2	12	12.1800251163,238.256186865,
L23Trans_C2	13	133.400692506,156.657951578,226.584649403,253.880462838,257.022272707,
L23Trans_C2	15	234.802814025,277.342891371,
L23Trans_C2	16	116.29860108,
L23Trans_C2	17	253.83873645,285.796372444,337.417862114,
L23Trans_C2	18	253.044269153,256.941671386,266.35533934,296.416374604,
L23Trans_C2	19	285.149253049,293.53801754,
L23Trans_C2	20	254.29369865,258.400096694,262.206595326,265.943095872,274.143781283,
L23Trans_C2	21	70.5036628269,148.181564468,176.93138,228.799222481,255.686450539,269.486055244,315.048565798,
L23Trans_C2	22	42.2009209131,309.703049819,
L23Trans_C2	23	54.4759580383,101.754160568,122.688721849,256.312874564,
L23Trans_C2	24	15.9151057992,134.265139796,170.996721358,257.754902884,260.348947952,
L23Trans_C2	25	2.11695400747,140.285714085,290.721106544,300.133274121,
L23Trans_C2	26	65.3705144104,147.441003365,210.754477931,280.834559924,
L23Trans_C2	27	133.301983933,184.957343177,
L23Trans_C2	28	92.6028209845,103.964889809,137.493990799,143.450178767,238.868974334,239.616993403,
L23Trans_C2	29	77.5504135728,253.016582467,257.112202251,263.485395157,286.350288857,
L23Trans_C2	30	64.0074758082,164.787676656,171.312811789,216.720858692,
L23Trans_C2	31	53.657416251,179.167906854,264.204229083,
L23Trans_C2	32	62.343761452,101.130568583,127.25589186,307.961030607,
L23Trans_C2	33	60.709770619,253.620169424,
L23Trans_C2	34	20.9094018699,64.8946725372,190.654506906,256.889138128,271.601239442,337.59622531,
L23Trans_C2	35	16.0183044188,95.6875370217,264.402259037,
L23Trans_C2	36	159.476850577,247.101905814,330.998466021,
L23Trans_C2	37	57.6369962484,135.127428206,253.696321864,254.740226032,300.311717161,
L23Trans_C2	38	45.9568343563,145.483492105,167.547961265,204.703526185,253.760961732,257.635620629,
L23Trans_C2	39	194.186242155,256.859660043,282.317470583,289.881029155,296.771815124,296.877246596,
L23Trans_C2	40	220.264149983,247.226545168,253.919216203,259.330893337,282.049092887,291.773381217,
L23Trans_C2	41	172.678535655,253.456978023,
L23Trans_C2	42	46.4745123779,93.4618190893,168.298286656,254.957483459,342.723456624,
L23Trans_C2	43	164.748611221,179.554343724,200.319372924,254.4718707,
L23Trans_C2	44	23.1603253397,257.017528682,
L23Trans_C2	45	6.20422848988,
L23Trans_C2	46	100.105306805,160.311449011,174.821260557,249.161526955,256.934905227,271.08318169,327.535421072,
L23Trans_C2	47	85.0183021895,259.613330834,
L23Trans_C2	48	16.1610020051,55.4067853834,257.069326849,
L23Trans_C2	49	54.613643731,297.30683385,340.569962288,
L23Trans_C2	50	7.47905316452,12.8294983308,
L23Trans_C2	51	29.083767021,
L23Trans_C2	52	33.6803919655,71.0122168908,253.064912644,255.205691399,
L23Trans_C2	53	184.231705501,189.011264049,331.286625987,
L23Trans_C2	54	4.76343233294,38.3246648374,304.676973051,
L23Trans_C2	55	34.9020647354,253.070583902,254.335785788,276.919400066,
L23Trans_C2	56	3.53101645428,62.3693531889,187.97200139,227.182405101,282.041421049,
L23Trans_C2	57	29.9437692876,254.444318175,
L23Trans_C2	58	205.766336149,275.878915466,305.798422397,
L23Trans_C2	59	101.770133449,
L23Trans_C3	0	211.260799649,289.913143267,
L23Trans_C3	1	276.801866571,
L23Trans_D1	0	19.1480825496,252.909827365,
L23Trans_D2	0	167.985629546,187.643714832,272.213685264,305.642025209,
L23Trans_D2	1	250.163758332,
L23Trans_D2	2	65.6947707612,122.808172668,185.920007254,328.546109651,
L23Trans_D2	3	108.970504181,255.218130481,
L23Trans_D2	4	72.3430088285,164.917248951,178.07784663,178.291803732,
L23Trans_D2	5	277.978454121,
L23Trans_D2	6	262.907534286,267.846157281,
L23Trans_D2	7	279.480021195,302.061697059,337.477606138,
L23Trans_D2	8	276.140701099,
L2_Alpha	0	147.153141401,
